breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
leonberger,"Friendly, Gentle, Playful",Ranks 93 of 197,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",9 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01000610/Leonberger-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/leonberger,Daily Brushing,Regularly,Regular Exercise,Eager to Please,Friendly,"['Red', 'Reddish Brown', 'Sandy', 'Yellow']",['Black Mask'],http://www.leonbergerclubofamerica.com/
lhasa-apso,"Confident, Smart, Comical",Ranks 71 of 197,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231104/Lhasa-Apso-On-White-01.jpg,https://marketplace.akc.org/puppies/lhasa-apso,2-3 Times a Week Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"['Black', 'Black & Tan', 'Cream', 'Golden', 'Grizzle', 'Red', 'Red Gold', 'White', 'Blue', 'Charcoal', 'Gray', 'Liver', 'Silver']","['Black Mask With Tips', 'Black Tips', 'Brindle', 'Parti-Color', 'Sable', 'White Markings', 'Sable, White Markings']",https://www.lhasaapso.org/
lowchen,"Affectionate, Outgoing, Positive",Ranks 168 of 197,11-13 inches,10-15 pounds,15+ years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25120641/Lowchen-at-the-AKC-National-Championship-presented-by-Royal-Canin.jpg,https://marketplace.akc.org/puppies/lowchen,Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Outgoing,"['Black', 'Black & Silver', 'Black & Tan', 'Black Brindle', 'Blue', 'Blue Brindle', 'Chocolate', 'Cream', 'Fawn', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Red Sable', 'Silver', 'Silver Brindle', 'White', 'Black & Tan Brindle', 'Chocolate Brindle', 'Chocolate Sable', 'Fawn Brindle', 'Fawn Sable', 'Silver Sable']","['Cream Markings', 'Irish Pied', 'Parti Belton', 'Parti-Color', 'Silver Markings', 'Silver Points', 'Tan Points', 'White Markings']",https://www.thelowchenclubofamerica.org/
maltese,"Gentle, Playful, Charming",Ranks 37 of 197,7-9 inches,under 7 pounds,12-15 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08152421/Maltese-laying-down-in-a-chair.jpg,https://marketplace.akc.org/puppies/maltese,Daily Brushing,Infrequent,Regular Exercise,Agreeable,Outgoing,"['White', 'White & Lemon', 'White & Tan']",['Black Points'],https://www.americanmaltese.org
manchester-terrier-(standard),"Spirited, Bright, Keenly Observant",Ranks 133 of 197,15-16 inches,12-22 pounds,15-17 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01152158/Manchester-Terrier-Standard-on-White-08.jpg,https://marketplace.akc.org/puppies/manchester-terrier,Weekly Brushing,Occasional,Regular Exercise,Easy Training,Alert/Responsive,"['Black & Tan', 'Black']",['Tan Markings'],http://www.americanmanchester.org/
manchester-terrier-(toy),"Agile, Spirited, Intelligent",Ranks 133 of 197,10-12 inches,under 12 pounds,15-17 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26221428/Manchester-Terrier-Slide-01.jpg,https://marketplace.akc.org/puppies/manchester-terrier,Weekly Brushing,Occasional,Regular Exercise,Easy Training,Alert/Responsive,"['Black & Tan', 'Black']",['Tan Markings'],https://www.americanmanchester.org
mastiff,"Courageous, Dignified, Good-Natured",Ranks 29 of 197,"30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6-10 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230849/Mastiff-On-White-03.jpg,https://marketplace.akc.org/puppies/mastiff,Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"['Apricot', 'Brindle', 'Fawn']",['Black Mask'],https://www.mastiff.org
miniature-american-shepherd,"Good-Natured, Intelligent, Devoted",Ranks 34 of 197,"14-18 inches (male), 13-17 inches (female)",20-40 pounds,12-13 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230829/Miniature-American-Shepherd-On-White-01.jpg,https://marketplace.akc.org/puppies/miniature-american-shepherd,Daily Brushing,Frequent,Energetic,Eager to Please,Friendly,"['Black', 'Blue Merle', 'Red', 'Red Merle']","['Tan Points', 'White Markings', 'White Markings, Tan Points']",http://mascusa.org/
miniature-bull-terrier,"Upbeat, Mischievous, Comical",Ranks 110 of 197,10-14 inches,18-28 pounds,11-13 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09231807/Miniature-Bull-Terrier-standing-outdoors.jpg,https://marketplace.akc.org/puppies/miniature-bull-terrier,Occasional Bath/Brush,Occasional,Energetic,Independent,Alert/Responsive,"['Black & Brindle', 'Black & Tan', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Fawn', 'Fawn & White', 'Red', 'Red & White', 'White', 'White & Brindle', 'White & Fawn', 'White & Red', 'White Black & Brindle', 'White Black & Tan']",[],http://www.minibull.org/
miniature-pinscher,"Fearless, Fun-Loving, Proud",Ranks 70 of 197,10-12.5 inches,8-10 pounds,12-16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10114051/Miniature-Pinscher-standing-in-three-quarter-view.jpg,https://marketplace.akc.org/puppies/miniature-pinscher,Occasional Bath/Brush,Infrequent,Regular Exercise,Independent,Alert/Responsive,"['Black & Rust', 'Black & Tan', 'Chocolate & Rust', 'Chocolate & Tan', 'Red', 'Stag Red', 'Blue & Rust', 'Blue & Tan', 'Blue Stag Red', 'Chocolate Stag Red', 'Fawn & Rust', 'Fawn (Isabella) & Tan', 'Fawn (Isabella) Stag Red']","['Self-Colored Nose', 'White Markings']",http://www.minpin.org/
miniature-schnauzer,"Friendly, Smart, Obedient",Ranks 19 of 197,12-14 inches,11-20 pounds,12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230713/Miniature-Schnauzer-On-White-01.jpg,https://marketplace.akc.org/puppies/miniature-schnauzer,Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Alert/Responsive,"['Black', 'Black & Silver', 'Salt & Pepper']",[],https://www.amsc.us
mountain-cur,"Intelligent, Strong-Willed, Reserved with Strangers",-1,16-26 inches,30-60 pounds,10-13 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191148/Mountain-Cur-MP.jpg,https://marketplace.akc.org/puppies/mountain-cur,Occasional Bath/Brush,Seasonal,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,"['Black', 'Blue', 'Brindle', 'Brown', 'Red', 'Yellow']","['Brindle Points', 'Tan Points', 'White Markings']",-1
mudi,"Loyal, Intelligent, Active",-1,15-18.5 inches,18-29 pounds,12-14 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02190524/Mudi.7.jpg,https://marketplace.akc.org/puppies/mudi,Occasional Bath/Brush,Occasional,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"['Black', 'Brown', 'Gray', 'Gray Brown', 'White', 'Yellow']",['Merle Markings'],http://www.mudi.us/
neapolitan-mastiff,"Loyal, Dignified, Watchful",Ranks 102 of 197,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2009/01/26133242/Neapolitan-Mastiff-on-lead-standing-in-the-grass-outdoors.20190813025752970.jpg,https://marketplace.akc.org/puppies/neapolitan-mastiff,Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Aloof/Wary,"['Black', 'Blue', 'Mahogany', 'Tawny']",['Brindle'],https://www.neapolitan.org
nederlandse-kooikerhondje,"Friendly, Alert, Quick",Ranks 150 of 197,"15-17 inches (male), 14-16 inches (female)",20-30 pounds,12-15 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/01/12194816/Nederlandse-Kooikerhondje-Field.jpg,https://marketplace.akc.org/puppies/nederlandse-kooikerhondje,Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,['White & Red'],['Black Tips'],http://www.kooikerhondjeusa.org/
newfoundland,"Sweet, Patient, Devoted",Ranks 40 of 197,"28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20135244/Newfoundland-standing-outdoors.jpg,https://marketplace.akc.org/puppies/newfoundland,Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"['Black', 'Brown', 'Gray', 'White & Black', 'Beige', 'Black & Tan', 'White & Brown', 'White & Gray']",['White Markings'],https://www.ncanewfs.org
norfolk-terrier,"Fearless, Alert, Fun-Loving",Ranks 126 of 197,9-10 inches,11-12 pounds,12-16 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104735/Norfolk-Terrier-sitting-in-the-grass.1.jpg,https://marketplace.akc.org/puppies/norfolk-terrier,Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"['Black & Tan', 'Grizzle', 'Red', 'Red Wheaten', 'Brown', 'Wheaten']",['Black Markings'],http://www.norfolkterrierclub.org/
norrbottenspets,"Fearless, Agile, Attentive",-1,16.5-18 inches,20-30 pounds,14-17 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230431/Norrbottenspets-On-White-01.jpg,https://marketplace.akc.org/puppies/norrbottenspets,Weekly Brushing,Occasional,Energetic,-1,-1,['White'],"['Black Mask', 'Cream Markings', 'Fawn Markings', 'Orange Markings', 'Red Patched', 'Sable', 'Tan Patches']",http://norrbottenspets.weebly.com/
norwegian-buhund,"Confident, Smart, Perceptive",Ranks 165 of 197,"17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12-15 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230414/Norwegian-Buhund-On-White-01.jpg,https://marketplace.akc.org/puppies/norwegian-buhund,Weekly Brushing,Seasonal,Energetic,Easy Training,Friendly,"['Black', 'Wheaten']","['Black Mask', 'White Markings']",https://buhund.org
norwegian-elkhound,"Friendly, Confident, Dependable",Ranks 97 of 197,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03123918/Norwegian-Elkhound-sitting-in-the-snow-looking-back-over-its-shoulder.jpg,https://marketplace.akc.org/puppies/norwegian-elkhound,Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"['Black & Gray', 'Black & Silver', 'Black White & Silver', 'Gray & Black', 'Gray Black & Silver', 'Silver & Black', 'Silver Gray & Black']",[],http://www.neaa.net/
norwegian-lundehund,"Loyal, Energetic, Alert",Ranks 191 of 197,"13-15 inches (male), 12-14 inches (female)",20-30 pounds,12-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230304/Norwegian-Lundehund-On-White-03.jpg,https://marketplace.akc.org/puppies/norwegian-lundehund,Weekly Brushing,Seasonal,Energetic,Agreeable,Reserved with Strangers,"['Black', 'Gray', 'Reddish Brown', 'White', 'Yellow', 'Sable & White']","['Black Markings', 'Black Tips', 'Gray Markings', 'White Markings']",http://nlaainc.com/
norwich-terrier,"Affectionate, Alert, Curious",Ranks 108 of 197,10 inches,12 pounds,12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11234249/Norwich-Terrier-standing-outdoors.jpg,https://marketplace.akc.org/puppies/norwich-terrier,Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"['Black & Tan', 'Grizzle', 'Red', 'Wheaton']",[],http://www.norwichterrierclub.org/
nova-scotia-duck-tolling-retriever,"Affectionate, Intelligent, Outgoing",Ranks 83 of 197,"18-21 inches (male), 17-20 inches (female)",35-50 pounds,12-14 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212940/Nova-Scotia-Duck-Tolling-Retriever-slide1.jpg,https://marketplace.akc.org/puppies/nova-scotia-duck-tolling-retriever,Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Friendly,"['Red', 'Red Gold', 'Buff']",['White Markings'],http://nsdtrc-usa.org/
old-english-sheepdog,"Adaptable, Gentle, Smart",Ranks 72 of 197,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10-12 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212937/Old-English-Sheepdogs-on-white-02.jpg,https://marketplace.akc.org/puppies/old-english-sheepdog,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"['Blue & White', 'Blue Gray & White', 'Blue Merle & White', 'Gray & White', 'Grizzle & White', 'Black & White', 'Blue', 'Blue Gray', 'Blue Merle', 'Brown & White', 'Fawn & White', 'Gray', 'Grizzle', 'White']",[],http://www.oldenglishsheepdogclubofamerica.org/
otterhound,"Even-Tempered, Amiable, Boisterous",Ranks 182 of 197,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10-13 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230108/Otterhound-On-White-03.jpg,https://marketplace.akc.org/puppies/otterhound,Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Alert/Responsive,"['Black', 'Black & Tan', 'Blue & Cream', 'Gray', 'Liver & Tan', 'Tan', 'Wheaten', 'Blue', 'Lemon', 'White', 'White Black & Tan']","['Badger Markings', 'Black & Tan Markings', 'Black Markings', 'Grizzle Markings', 'Liver Markings', 'White Markings', 'Lemon Markings', 'Silver Markings', 'Tan Markings', 'White & Tan Markings']",https://www.otterhound.org/
papillon,"Friendly, Alert, Happy",Ranks 54 of 197,8-11 inches,5-10 pounds,14-16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230042/Papillon-On-White-01.jpg,https://marketplace.akc.org/puppies/papillon,Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Outgoing,"['White & Black', 'White & Lemon', 'White & Red', 'White & Sable', 'White Black & Tan', 'Black Brown & White', 'Black Red & White', 'Brown & White', 'Fawn & White', 'Red', 'Red White & Sable', 'Sable', 'White', 'White & Liver', 'White & Silver']","['Black Markings', 'Black Mask', 'Red Markings', 'Sable', 'Tan Markings']",https://www.papillonclub.org/
parson-russell-terrier,"Friendly, Clever, Athletic",Ranks 117 of 197,"14 inches (male), 13 inches (female)",13-17 pounds,13-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13124139/Parson-Russell-Terrier-standing-in-three-quarter-view-on-a-white-background.jpg,https://marketplace.akc.org/puppies/parson-russell-terrier,Weekly Brushing,Occasional,Needs Lots of Activity,Agreeable,Friendly,['White'],"['Black Markings', 'Brown Markings', 'Cream Markings', 'Tan Markings', 'Tri Color Markings']",http://www.prtaa.org/
pekingese,"Affectionate, Loyal, Regal in Manner",Ranks 92 of 197,6-9 inches,up to 14 pounds,12-14 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13153305/Pekingese-standing-in-the-grass.jpg,https://marketplace.akc.org/puppies/pekingese,2-3 Times a Week Brushing,Seasonal,Calm,May be Stubborn,Reserved with Strangers,"['Biscuit', 'Black', 'Black & Tan', 'Cream', 'Fawn', 'Fawn Sable', 'Gray', 'Red', 'Red Sable', 'White', 'Fawn Brindle', 'Gray Sable', 'Light Red', 'Red Brindle']","['Black Mask', 'Parti-Color', 'White Markings', 'Black Face', 'Black Face, White Markings', 'Black Mask, White Markings', 'Black Muzzle', 'Black Muzzle, White Markings']",http://www.thepekingeseclubofamerica.com/
pembroke-welsh-corgi,"Affectionate, Smart, Alert",Ranks 13 of 197,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14112506/Pembroke-Welsh-Corgi-standing-outdoors-in-the-fall.jpg,https://marketplace.akc.org/puppies/pembroke-welsh-corgi,Weekly Brushing,Regularly,Energetic,Agreeable,Outgoing,"['Black & Tan', 'Fawn', 'Red', 'Sable']",['White Markings'],http://www.pembrokecorgi.org/
perro-de-presa-canario,"Confident, Calm, Strong-Willed",-1,22-26 inches,84-110 pounds,9-11 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02200433/Perro-de-Presa-Canario.1.jpg,https://marketplace.akc.org/puppies/perro-de-presa-canario,Occasional Bath/Brush,Seasonal,Calm,-1,-1,"['Brown', 'Fawn', 'Gold', 'Orange', 'Silver', 'Tiger']","['Brindle Markings', 'White Markings']",-1
peruvian-inca-orchid,"Affectionate, Loyal, Noble",-1,9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),12-14 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29133522/Peruvian-Inca-Orchid-04.jpg,https://marketplace.akc.org/puppies/peruvian-inca-orchid,Occasional Bath/Brush,Regularly,Energetic,Agreeable,Reserved with Strangers,"['Black', 'Blue', 'Bronze', 'Brown', 'Copper', 'Cream', 'Gold', 'Gray', 'Gray Brindle', 'Lilac', 'Red', 'Red Brindle', 'Rose', 'Tan', 'Tan Brindle', 'Tri-Colored', 'White']","['Black Markings', 'Brown Markings', 'Cream Markings', 'Gold Markings', 'Gray Markings', 'Red Markings', 'Sable', 'Spotted', 'Tan Markings', 'Tri-Colored', 'White Markings']",https://peruvianincaorchidcluboftheunitedstates.org
petit-basset-griffon-vendeen,"Alert, Happy, Vivacious",Ranks 156 of 197,13-15 inches,25-40 pounds,12-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212335/Petit-Basset-Griffon-Vendeen-On-White-03.jpg,https://marketplace.akc.org/puppies/petit-basset-griffon-vendeen,Weekly Brushing,Occasional,Energetic,Independent,Friendly,"['Black & Tan', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan', 'Fawn']",[],https://www.pbgv.org/
pharaoh-hound,"Friendly, Smart, Noble",Ranks 172 of 197,"23-25 inches (male), 21-24 inches (female)",45-55 pounds,12-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12214239/Pharaoh-Hound-On-White-03.jpg,https://marketplace.akc.org/puppies/pharaoh-hound,Weekly Brushing,Seasonal,Energetic,Independent,Reserved with Strangers,"['Chestnut', 'Red Golden', 'Rich Tan', 'Tan']",['White Markings'],http://www.ph-club.org/
plott-hound,"Loyal, Alert, Intelligent",Ranks 171 of 197,"20-25 inches (male), 20-23 inches (female)","50-60 pounds (male), 40-55 pounds (female)",12-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30140443/IMG_8947.jpg,https://marketplace.akc.org/puppies/plott-hound,Occasional Bath/Brush,Occasional,Energetic,Independent,Alert/Responsive,"['Black', 'Black Brindle', 'Blue Brindle', 'Brown Brindle', 'Buckskin', 'Chocolate Brindle', 'Gray Brindle', 'Liver Brindle', 'Maltese', 'Orange Brindle', 'Red Brindle', 'Tan Brindle', 'Yellow Brindle']","['Black Saddle', 'Brindle Trim', 'Grayings Muzzle & Jaw', 'White Chest & Feet']",-1
pointer,"Loyal, Hardworking, Even-Tempered",Ranks 114 of 197,"25-28 inches (male), 23-26 inches (female)","55-75 pounds (male), 45-65 pounds (female)",12-17 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31182317/Pointer.4.jpg,https://marketplace.akc.org/puppies/pointer,Weekly Brushing,Occasional,Energetic,Agreeable,Alert/Responsive,"['Black', 'Black & White', 'Lemon', 'Lemon & White', 'Liver', 'Liver & White', 'Orange', 'Orange & White']","['Black Points', 'Liver Points', 'Self-Colored Points', 'Ticked']",http://www.americanpointerclub.org/
polish-lowland-sheepdog,"Confident, Clever, Lively",Ranks 170 of 197,"18-20 inches (male), 17-19 inches (female)",30-50 pounds,12-14 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225658/Polish-Lowland-Sheepdog-On-White-02.jpg,https://marketplace.akc.org/puppies/polish-lowland-sheepdog,Daily Brushing,Seasonal,Energetic,May be Stubborn,Aloof/Wary,"['Beige', 'Black', 'Black & White', 'Brown', 'Chocolate & White', 'Gray', 'Gray & White', 'Tri-Colored', 'White', 'Beige & Brown', 'Beige & White', 'Black & Beige', 'Black & Gray', 'Black & Silver', 'Black Gray & Beige', 'Black Gray & White', 'Black White & Silver', 'Gray Tan & Beige', 'Red Black & White', 'White & Apricot', 'White & Brown', 'White & Gold', 'White & Liver', 'White & Silver', 'White Gray & Tan']","['Black Patches', 'Gray Patches', 'Gray Tips', 'Tan Patches']",http://www.aponc.org/
pomeranian,"Inquisitive, Bold, Lively",Ranks 23 of 197,6-7 inches,3-7 pounds,12-16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225627/Pomeranian-On-White-01.jpg,https://marketplace.akc.org/puppies/pomeranian,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Alert/Responsive,"['Beaver', 'Black', 'Black & Tan', 'Blue', 'Blue & Tan', 'Blue Merle', 'Blue Sable', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Cream Sable', 'Orange', 'Orange Sable', 'Red', 'Red Sable', 'Tri-Colored', 'White', 'Wolf Sable', 'Beaver Sable', 'Black & Brindle', 'Blue Brindle', 'Chocolate Merle', 'Chocolate Sable']","['Brindle', 'Irish Marked', 'Mask', 'Merle Markings', 'Parti-Color', 'Sable', 'Tan Markings', 'Tri Color Markings', 'White Markings']",https://ampomclub.org/
poodle-(miniature),"Active, Proud, Very Smart",Ranks 7 of 197,10-15 inches,10-15 pounds,10-18 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225548/Poodle-On-White-01.jpg,https://marketplace.akc.org/puppies/poodle?breed_options=miniature,-1,-1,-1,-1,-1,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']",[],http://www.poodleclubofamerica.org/
poodle-(standard),"Active, Proud, Very Smart",Ranks 7 of 197,Over 15 inches (standard),"60-70 pounds (male), 40-50 pounds (female)",10-18 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225538/Poodle-On-White-03.jpg,https://marketplace.akc.org/puppies/poodle?breed_options=standard,Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Friendly,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']",[],https://poodleclubofamerica.org
poodle-(toy),"Agile, Intelligent, Self-Confident",Ranks 7 of 197,No more than 10 inches,4-6 pounds,10-18 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/01104119/Toy-Poodle-on-White-02.jpg,https://marketplace.akc.org/puppies/poodle?breed_options=toy,Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Friendly,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']",[],http://www.poodleclubofamerica.org/
porcelaine,"Independent, Energetic, Powerful",-1,22-23 inches,55-62 pounds,12-13 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02202853/Porcelaine.4.jpg,https://marketplace.akc.org/puppies/porcelaine,Occasional Bath/Brush,-1,Energetic,-1,Alert/Responsive,['White & Orange'],"['Spotted or Patched', 'Ticked']",-1
portuguese-podengo,"Independent, Alert, Intelligent",-1,22-28 inches (large) 16-22 inches (medium),44-66 pounds (large) 35-44 pounds (medium),10-12 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13231716/Portuguese-Podengo-standing-in-three-quarter-view.jpg,https://marketplace.akc.org/puppies/portuguese-podengo,Weekly Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,"['Chestnut', 'Fawn', 'Gold', 'Gray', 'Off-White', 'Red', 'White & Black', 'White & Chestnut', 'White & Fawn', 'White & Gold', 'White & Gray', 'White & Orange', 'White & Red', 'White & Yellow', 'Yellow']",['White Markings'],http://www.podengo-mediogrande.com/
portuguese-podengo-pequeno,"Playful, Charming, Lively",Ranks 154 of 197,8-12 inches,9-13 pounds,12-15 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21133457/PPP-on-white.jpg,https://marketplace.akc.org/puppies/portuguese-podengo-pequeno,Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"['Black', 'Chestnut', 'Fawn', 'Gold', 'Gray', 'Orange', 'Red', 'White & Black', 'White & Chestnut', 'White & Fawn', 'White & Gold', 'White & Gray', 'White & Orange', 'White & Red', 'White & Yellow', 'Yellow']",['White Markings'],http://portuguesepodengopequeno.org/
portuguese-pointer,"Affectionate, Smart, Energetic",-1,20.5-22 inches,35-59 pounds,~14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195455/Portuguese-Pointer-on-White-01-1.jpg,https://marketplace.akc.org/puppies/portuguese-pointer,Occasional Bath/Brush,Occasional,Energetic,Eager to Please,Friendly,"['Light Yellow', 'Red Yellow', 'Yellow']",['White Markings'],http://www.portuguesepointerclub.com
